product_id,title,product_type,moissanite,variants,price_min,price_max,sku,admin_url,handle,similar_live_product,similar_live_url
9920680886520,3.70 ct DEW Certified Moissanite Solitaire Ring Gold Vermeil For Birthday Gift,Rings,Yes,1,15599.99,15599.99,GH-MOI-00522,https://admin.shopify.com/store/vbvidr-u9/products/9920680886520,370-ct-certified-moissanite-solitaire-ring-gold-vermeil-for-birthday-gift,,
9920686784760,4 ct DEW Certified Radiant Cut White Moissanite Solitaire Ring In Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00441,https://admin.shopify.com/store/vbvidr-u9/products/9920686784760,4-ct-certified-radiant-cut-white-moissanite-solitaire-ring-in-gold-vermeil,4.00 ct DEW Radiant Cut White Treated Moissanite Solitaire Ring in Cert 18K Gold Plated,https://gemhub.in/products/4-00-ct-radiant-cut-white-treated-diamond-solitaire-ring-in-cert-18k-gold-plated
9920770113784,4.00 ct DEW Certified Asscher Cut Champagne Moissanite Ring Gold Vermeil Jewellery,Rings,Yes,1,15599.99,15599.99,GH-MOI-00373,https://admin.shopify.com/store/vbvidr-u9/products/9920770113784,400-ct-certified-asscher-cut-champagne-moissanite-ring-gold-vermeil-jewelry,4.0ct DEW Champagne Moissanite Asscher Solitaire Ring,https://gemhub.in/products/40-ct-champagne-moissanite-asscher-solitaire-ring-925-sterling-silver-gold-vermeil
9920768671992,4.00 ct DEW Certified Oval Cut White Moissanite Gold Vermeil Ring For Women,Rings,Yes,1,15599.99,15599.99,GH-MOI-00380,https://admin.shopify.com/store/vbvidr-u9/products/9920768671992,400-ct-certified-oval-cut-white-moissanite-gold-vermeil-ring-for-women,4.0ct DEW White Moissanite Oval Solitaire Ring,https://gemhub.in/products/40-ct-white-moissanite-oval-solitaire-ring-925-sterling-silver-gold-vermeil
9920757727480,4.15 ct DEW Certified White Emerald Cut Moissanite Solitaire Ring Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00430,https://admin.shopify.com/store/vbvidr-u9/products/9920757727480,415-ct-certified-white-emerald-cut-moissanite-solitaire-ring-gold-vermeil,4.15 ct DEW Certified Emerald Cut Off White Moissanite Ring – Festival Gift 18K Gold Plated,https://gemhub.in/products/4-15-ct-certified-emerald-cut-off-white-diamond-ring-festival-gift-18k-gold-pl
9920764608760,4.18 ct DEW Certified Round Cut White Moissanite Solitaire Ring Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00397,https://admin.shopify.com/store/vbvidr-u9/products/9920764608760,418-ct-certified-round-cut-white-moissanite-solitaire-ring-gold-vermeil,4.18ct DEW White Moissanite Round Solitaire Ring,https://gemhub.in/products/418-ct-white-moissanite-round-solitaire-ring-925-sterling-silver-gold-vermeil
9920682066168,4.20 ct DEW Certified F Moissanite Solitaire Ring Gold Vermeil Anniversary Gift,Rings,Yes,1,15599.99,15599.99,GH-MOI-00508,https://admin.shopify.com/store/vbvidr-u9/products/9920682066168,420-ct-certified-f-moissanite-solitaire-ring-gold-vermeil-anniversary-gift,,
9920681804024,4.25 ct DEW Certified Princess Cut White Moissanite Gold Vermeil Engagement Ring,Rings,Yes,1,15599.99,15599.99,GH-MOI-00511,https://admin.shopify.com/store/vbvidr-u9/products/9920681804024,425-ct-certified-princess-cut-white-moissanite-gold-vermeil-engagement-ring,4.25ct DEW White Moissanite Princess Solitaire Ring,https://gemhub.in/products/425-ct-white-moissanite-princess-solitaire-ring-925-sterling-silver-gold-vermeil
9920682197240,4.50 ct DEW Certified Emerald Cut White Moissanite Solitaire Ring Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00507,https://admin.shopify.com/store/vbvidr-u9/products/9920682197240,450-ct-certified-emerald-cut-white-moissanite-solitaire-ring-gold-vermeil,4.50 ct DEW Emerald Cut Off White Moissanite Ring in Certified Shine 18K Gold Plated Ve 18K Gold Plated,https://gemhub.in/products/4-50-ct-emerald-cut-off-white-diamond-ring-in-certified-shine-18k-gold-plated-ve
9920683016440,4.55 ct DEW Certified Cushion Cut White Moissanite Gold Vermeil Ring For Girlfriend,Rings,Yes,1,15599.99,15599.99,GH-MOI-00499,https://admin.shopify.com/store/vbvidr-u9/products/9920683016440,455ct-certified-cushion-cut-white-moissanite-gold-vermeil-ring-for-girlfriend,4.55ct DEW White Moissanite Cushion Solitaire Ring,https://gemhub.in/products/455-ct-white-moissanite-cushion-solitaire-ring-925-sterling-silver-gold-vermeil
9920685342968,4.65 ct DEW EGL Certified Cushion Cut White Moissanite Ring In Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00464,https://admin.shopify.com/store/vbvidr-u9/products/9920685342968,465-ct-egl-certified-cushion-cut-white-moissanite-ring-in-gold-vermeil,,
9920681214200,4.7 ct DEW Pear Cut Blue Moissanite Gold Vermeil Ring Cyber Monday Jewellery Sale,Rings,Yes,1,15599.99,15599.99,GH-MOI-00520,https://admin.shopify.com/store/vbvidr-u9/products/9920681214200,47-ct-pear-cut-blue-moissanite-gold-vermeil-ring-cyber-monday-jewelry-sale,4.70 ct DEW Gold Vermeil Pear Cut Blue Moissanite Solitaire Ring,https://gemhub.in/products/470-ct-gold-vermeil-egl-certified-pear-cut-blue-moissanite-solitaire-ring
9920680820984,4.70 ct DEW Certified Asscher Cut White Moissanite Solitaire Ring In Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00523,https://admin.shopify.com/store/vbvidr-u9/products/9920680820984,470ct-certified-asscher-cut-white-moissanite-solitaire-ring-in-gold-vermeil,4.7ct DEW White Moissanite Asscher Solitaire Ring,https://gemhub.in/products/47-ct-white-moissanite-asscher-solitaire-ring-925-sterling-silver-gold-vermeil
9920684425464,4.80 ct DEW Certified Emerald Cut White Moissanite Solitaire Ring Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00478,https://admin.shopify.com/store/vbvidr-u9/products/9920684425464,480-ct-certified-emerald-cut-white-moissanite-solitaire-ring-gold-vermeil,4.8ct DEW White Moissanite Emerald Solitaire Ring,https://gemhub.in/products/48-ct-white-moissanite-emerald-solitaire-ring-925-sterling-silver-gold-vermeil
9920685506808,4.80 ct DEW Certified Oval Shape Certified Blue Moissanite Ring Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00460,https://admin.shopify.com/store/vbvidr-u9/products/9920685506808,480-ct-certified-oval-shape-certified-blue-moissanite-ring-gold-vermeil,4.80 ct DEW Oval Cut Blue Moissanite Ring in Certified Engagement 18K Gold Plated Verme 18K Gold Plated,https://gemhub.in/products/4-80-ct-oval-cut-blue-diamond-ring-in-certified-engagement-18k-gold-plated-verme
9920686686456,4.85 ct DEW Certified Oval Cut White Moissanite Gold Vermeil Ring For Women,Rings,Yes,1,15599.99,15599.99,GH-MOI-00442,https://admin.shopify.com/store/vbvidr-u9/products/9920686686456,485-ct-certified-oval-cut-white-moissanite-gold-vermeil-ring-for-women,4.85 ct DEW Oval Cut Off White Moissanite Ring in – Certified Sparkler 18K Gold Plated 18K Gold Plated,https://gemhub.in/products/4-85-ct-oval-cut-off-white-diamond-ring-in-certified-sparkler-18k-gold-plated
9920681410808,4.90 ct DEW Certified Asscher Cut Moissanite Gold Vermeil Ring New Year Special Gift,Rings,Yes,1,15599.99,15599.99,GH-MOI-00517,https://admin.shopify.com/store/vbvidr-u9/products/9920681410808,490-ct-certified-asscher-cut-moissanite-gold-vermeil-ring-new-year-special-gift,,
9920687079672,4.90 ct DEW EGL Certified White Princess Cut Moissanite Ring Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00436,https://admin.shopify.com/store/vbvidr-u9/products/9920687079672,490-ct-egl-certified-white-princess-cut-moissanite-ring-gold-vermeil,Certified 4.90 ct DEW White Princess Cut Moissanite Ring For Women 18K Gold Plated Verm 18K Gold Plated,https://gemhub.in/products/certified-4-90-ct-white-princess-cut-diamond-ring-for-women-18k-gold-plated-verm
9920758972664,5 ct DEW EGL Certified Princess Cut Off White Moissanite Gold Vermeil Ring,Rings,Yes,1,15599.99,15599.99,GH-MOI-00424,https://admin.shopify.com/store/vbvidr-u9/products/9920758972664,5ct-egl-certified-princess-cut-off-white-moissanite-gold-vermeil-ring,5 ct DEW Princess Cut Off White Moissanite Ring Gift for 4th of July 18K Gold Plated Ve 18K Gold Plated,https://gemhub.in/products/5-ct-princess-cut-off-white-diamond-ring-gift-for-4th-of-july-18k-gold-plated-ve
9920760381688,5.15 ct DEW Certified Round Cut Champagne Moissanite Solitaire Ring in Gold Vermeil,Rings,Yes,1,15599.99,15599.99,GH-MOI-00417,https://admin.shopify.com/store/vbvidr-u9/products/9920760381688,515-ct-certified-round-cut-champagne-moissanite-solitaire-ring-in-gold-vermeil,5.15ct DEW Champagne Moissanite Round Solitaire Ring,https://gemhub.in/products/515-ct-champagne-moissanite-round-solitaire-ring-925-sterling-silver-gold-vermeil
9920683573496,5.20 ct DEW Certified Round Cut White Moissanite Gold Vermeil Ring Valentine's Gift,Rings,Yes,1,15599.99,15599.99,GH-MOI-00492,https://admin.shopify.com/store/vbvidr-u9/products/9920683573496,520-ct-certified-round-cut-white-moissanite-gold-vermeil-ring-valentines-gift,5.20ct DEW White Moissanite Round Solitaire Ring | 18K Gold Vermeil | GRA Certified,https://gemhub.in/products/520-ct-certified-round-cut-white-moissanite-gold-vermeil-ring-for-gift
9920762118392,5.20 ct DEW EGL Certified Round Cut Black Moissanite Gold Vermeil Men's Ring,Rings,Yes,1,15599.99,15599.99,GH-MOI-00409,https://admin.shopify.com/store/vbvidr-u9/products/9920762118392,520-ct-egl-certified-round-cut-black-moissanite-gold-vermeil-mens-ring,5.20ct DEW Black Moissanite Round Solitaire Ring | 18K Gold Vermeil | GRA Certified,https://gemhub.in/products/520-ct-certified-round-cut-black-moissanite-gold-vermeil-ring-for-engagement
9920683114744,5.30 ct DEW Certified Cushion Cut F VS1 CVD Moissanite Gold Vermeil Proposal Ring,Rings,Yes,1,15599.99,15599.99,GH-MOI-00498,https://admin.shopify.com/store/vbvidr-u9/products/9920683114744,530-ct-certified-cushion-cut-f-vs1-cvd-moissanite-gold-vermeil-proposal-ring,,
9920685605112,5.30 ct DEW Certified Emerald Cut Solitaire White F VS1 Moissanite Gold Vermeil Ring,Rings,Yes,1,15599.99,15599.99,GH-MOI-00459,https://admin.shopify.com/store/vbvidr-u9/products/9920685605112,530ct-certified-emerald-cut-solitaire-white-f-vs1-moissanite-gold-vermeil-ring,5.30ct DEW White Moissanite Emerald Cut Solitaire Ring | 18K Gold Vermeil | GRA,https://gemhub.in/products/530-ct-emerald-cut-certified-white-moissanite-soliatire-gold-vermeil-ring
9920686457080,5.36 ct DEW Radiant Cut White Moissanite Solitaire Gold Vermeil Engagement Ring,Rings,Yes,1,15599.99,15599.99,GH-MOI-00446,https://admin.shopify.com/store/vbvidr-u9/products/9920686457080,536ct-radiant-cut-white-moissanite-solitaire-gold-vermeil-engagement-ring,5.36 ct DEW Radiant Cut White Moissanite Solitaire Wedding Ring 18K Gold Plated,https://gemhub.in/products/5-36ct-radiant-cut-white-diamond-solitaire-wedding-ring-18k-gold-plated-vermeil
