product_id,variant_id,status,title,variant,sku,old_price,final_price,changed
9920600310008,50038487318776,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Cross Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01016-WG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600375544,48966670254328,ACTIVE,3.50 ct DEW Princess Cut White Moissanite Pendant in 18K Gold Plated Vermeil – Birthday Gift,Yellow Gold,GH-MOI-01015-YG,3500.00,4199.99,Yes
9920600375544,50038493839608,ACTIVE,3.50 ct DEW Princess Cut White Moissanite Pendant in 18K Gold Plated Vermeil – Birthday Gift,Rose Gold,GH-MOI-01015-RG,3500.00,4199.99,Yes
9920600375544,50038493872376,ACTIVE,3.50 ct DEW Princess Cut White Moissanite Pendant in 18K Gold Plated Vermeil – Birthday Gift,White Gold,GH-MOI-01015-WG,3500.00,4199.99,Yes
9920600441080,48966670680312,ACTIVE,1.80 ct DEW F/VS1 White Moissanite Cross Pendant in 18K Gold Plated Vermeil – Religious Gift,Yellow Gold,GH-MOI-01014-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600441080,50038498984184,ACTIVE,1.80 ct DEW F/VS1 White Moissanite Cross Pendant in 18K Gold Plated Vermeil – Religious Gift,Rose Gold,GH-MOI-01014-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600441080,50038499016952,ACTIVE,1.80 ct DEW F/VS1 White Moissanite Cross Pendant in 18K Gold Plated Vermeil – Religious Gift,White Gold,GH-MOI-01014-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600506616,48966671106296,ACTIVE,3.70 ct DEW F/VS1 White Moissanite Pendant in 18K Gold Plated Vermeil – Anniversary Gift,Yellow Gold,GH-MOI-01013-YG,3500.00,4199.99,Yes
9920600506616,50038503833848,ACTIVE,3.70 ct DEW F/VS1 White Moissanite Pendant in 18K Gold Plated Vermeil – Anniversary Gift,Rose Gold,GH-MOI-01013-RG,3500.00,4199.99,Yes
9920600506616,50038503866616,ACTIVE,3.70 ct DEW F/VS1 White Moissanite Pendant in 18K Gold Plated Vermeil – Anniversary Gift,White Gold,GH-MOI-01013-WG,3500.00,4199.99,Yes
9920600539384,48966671139064,ACTIVE,3.50 ct DEW Certified Moissanite Pendant in 18K Gold Plated Vermeil – Wedding & Holiday Gift,Yellow Gold,GH-MOI-01012-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600539384,50038509895928,ACTIVE,3.50 ct DEW Certified Moissanite Pendant in 18K Gold Plated Vermeil – Wedding & Holiday Gift,Rose Gold,GH-MOI-01012-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600539384,50038509928696,ACTIVE,3.50 ct DEW Certified Moissanite Pendant in 18K Gold Plated Vermeil – Wedding & Holiday Gift,White Gold,GH-MOI-01012-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600604920,48966671565048,ACTIVE,2.10 ct DEW Certified Cross Moissanite Pendant in 18K Gold Plated Vermeil – Holiday Gift,Yellow Gold,GH-MOI-01011-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600604920,50038516351224,ACTIVE,2.10 ct DEW Certified Cross Moissanite Pendant in 18K Gold Plated Vermeil – Holiday Gift,Rose Gold,GH-MOI-01011-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600604920,50038516383992,ACTIVE,2.10 ct DEW Certified Cross Moissanite Pendant in 18K Gold Plated Vermeil – Holiday Gift,White Gold,GH-MOI-01011-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600637688,48966671597816,ACTIVE,2.10 ct DEW White Cross Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christian Gift,Yellow Gold,GH-MOI-01010-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600637688,50038523363576,ACTIVE,2.10 ct DEW White Cross Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christian Gift,Rose Gold,GH-MOI-01010-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600637688,50038523396344,ACTIVE,2.10 ct DEW White Cross Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christian Gift,White Gold,GH-MOI-01010-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600703224,48966672023800,ACTIVE,3.50 ct DEW Certified Moissanite Pendant 18K Gold Plated,Yellow Gold,GH-MOI-01009-YG,3500.00,4199.99,Yes
9920600703224,50038527590648,ACTIVE,3.50 ct DEW Certified Moissanite Pendant 18K Gold Plated,Rose Gold,GH-MOI-01009-RG,3500.00,4199.99,Yes
9920600703224,50038527623416,ACTIVE,3.50 ct DEW Certified Moissanite Pendant 18K Gold Plated,White Gold,GH-MOI-01009-WG,3500.00,4199.99,Yes
9920600735992,48966672056568,ACTIVE,2.60 ct DEW Certified Moissanite Pendant Birthday Gift for Her 18K Gold Plated,Yellow Gold,GH-MOI-01008-YG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600735992,50038534209784,ACTIVE,2.60 ct DEW Certified Moissanite Pendant Birthday Gift for Her 18K Gold Plated,Rose Gold,GH-MOI-01008-RG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600735992,50038534242552,ACTIVE,2.60 ct DEW Certified Moissanite Pendant Birthday Gift for Her 18K Gold Plated,White Gold,GH-MOI-01008-WG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600801528,48966672482552,ACTIVE,3.30 ct DEW White Moissanite Pendant 18K Gold Plated,Yellow Gold,GH-MOI-01007-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600801528,50038541025528,ACTIVE,3.30 ct DEW White Moissanite Pendant 18K Gold Plated,Rose Gold,GH-MOI-01007-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600801528,50038541058296,ACTIVE,3.30 ct DEW White Moissanite Pendant 18K Gold Plated,White Gold,GH-MOI-01007-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600867064,48966672908536,ACTIVE,3.65 ct DEW White Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christmas Gift,Yellow Gold,GH-MOI-01006-YG,3500.00,4199.99,Yes
9920600867064,50038547742968,ACTIVE,3.65 ct DEW White Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christmas Gift,Rose Gold,GH-MOI-01006-RG,3500.00,4199.99,Yes
9920600867064,50038547775736,ACTIVE,3.65 ct DEW White Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christmas Gift,White Gold,GH-MOI-01006-WG,3500.00,4199.99,Yes
9920600899832,48966672941304,ACTIVE,3.70 ct DEW Certified White Moissanite Pendant 18K Gold Plated,Yellow Gold,GH-MOI-01005-YG,3500.00,4199.99,Yes
9920600899832,50038555246840,ACTIVE,3.70 ct DEW Certified White Moissanite Pendant 18K Gold Plated,Rose Gold,GH-MOI-01005-RG,3500.00,4199.99,Yes
9920600899832,50038555279608,ACTIVE,3.70 ct DEW Certified White Moissanite Pendant 18K Gold Plated,White Gold,GH-MOI-01005-WG,3500.00,4199.99,Yes
9920600965368,48966673367288,ACTIVE,3.85 ct DEW Certified Princess Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01004-YG,3500.00,4199.99,Yes
9920600965368,50038560424184,ACTIVE,3.85 ct DEW Certified Princess Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01004-RG,3500.00,4199.99,Yes
9920600965368,50038560456952,ACTIVE,3.85 ct DEW Certified Princess Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01004-WG,3500.00,4199.99,Yes
9920601030904,48966673793272,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01003-YG,3500.00,4199.99,Yes
9920601030904,50038566158584,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01003-RG,3500.00,4199.99,Yes
9920601030904,50038566191352,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01003-WG,3500.00,4199.99,Yes
9920601129208,48966674252024,ACTIVE,Certified 2.80 ct DEW Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01002-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920601129208,50038573924600,ACTIVE,Certified 2.80 ct DEW Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01002-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920601129208,50038573957368,ACTIVE,Certified 2.80 ct DEW Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01002-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920601260280,48966674743544,ACTIVE,3.45 ct DEW Certified Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01001-YG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920601260280,50038578577656,ACTIVE,3.45 ct DEW Certified Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01001-RG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920601260280,50038578610424,ACTIVE,3.45 ct DEW Certified Round Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01001-WG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920601358584,48966676185336,ACTIVE,3.50 ct DEW Certified White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01000-YG,1470.00,4199.99,Yes (raised to 4199.99 minimum)
9920601358584,50038586573048,ACTIVE,3.50 ct DEW Certified White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01000-RG,1470.00,4199.99,Yes (raised to 4199.99 minimum)
9920601358584,50038586605816,ACTIVE,3.50 ct DEW Certified White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01000-WG,1470.00,4199.99,Yes (raised to 4199.99 minimum)
9920601522424,48966677102840,ACTIVE,Certified 5.80ct VS1 White Moissanite Handmade Ring 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00999,7700.00,7700.00,No (reverted)
9920601522424,48966677135608,ACTIVE,Certified 5.80ct VS1 White Moissanite Handmade Ring 18K Gold Plated,18K Gold Plated Vermeil / 5,,7700.00,7700.00,No (reverted)
9920601522424,48966677168376,ACTIVE,Certified 5.80ct VS1 White Moissanite Handmade Ring 18K Gold Plated,18K Gold Plated Vermeil / 6,,7700.00,7700.00,No (reverted)
9920601522424,48966677201144,ACTIVE,Certified 5.80ct VS1 White Moissanite Handmade Ring 18K Gold Plated,18K Gold Plated Vermeil / 8,,7700.00,7700.00,No (reverted)
9920601522424,48966677233912,ACTIVE,Certified 5.80ct VS1 White Moissanite Handmade Ring 18K Gold Plated,18K Gold Plated Vermeil / 9,,7700.00,7700.00,No (reverted)
9920601522424,48966677266680,ACTIVE,Certified 5.80ct VS1 White Moissanite Handmade Ring 18K Gold Plated,18K Gold Plated Vermeil / 10,,7700.00,7700.00,No (reverted)
9920601555192,48966677299448,ACTIVE,Certified 10ct VS1 Round White Moissanite Ring Jewellery 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00998,13300.00,13300.00,No (reverted)
9920601555192,48966677332216,ACTIVE,Certified 10ct VS1 Round White Moissanite Ring Jewellery 18K Gold Plated,18K Gold Plated Vermeil / 5,,13300.00,13300.00,No (reverted)
9920601555192,48966677364984,ACTIVE,Certified 10ct VS1 Round White Moissanite Ring Jewellery 18K Gold Plated,18K Gold Plated Vermeil / 6,,13300.00,13300.00,No (reverted)
9920601555192,48966677397752,ACTIVE,Certified 10ct VS1 Round White Moissanite Ring Jewellery 18K Gold Plated,18K Gold Plated Vermeil / 8,,13300.00,13300.00,No (reverted)
9920601555192,48966677430520,ACTIVE,Certified 10ct VS1 Round White Moissanite Ring Jewellery 18K Gold Plated,18K Gold Plated Vermeil / 9,,13300.00,13300.00,No (reverted)
9920601555192,48966677463288,ACTIVE,Certified 10ct VS1 Round White Moissanite Ring Jewellery 18K Gold Plated,18K Gold Plated Vermeil / 10,,13300.00,13300.00,No (reverted)
9920601620728,48966677954808,ACTIVE,Certified 3ct VVS2 F Moissanite Ring for Gift in Solid 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00997,4200.00,5099.99,Yes
9920601620728,48966677987576,ACTIVE,Certified 3ct VVS2 F Moissanite Ring for Gift in Solid 18K Gold Plated,18K Gold Plated Vermeil / 5,,4200.00,5099.99,Yes
9920601620728,48966678020344,ACTIVE,Certified 3ct VVS2 F Moissanite Ring for Gift in Solid 18K Gold Plated,18K Gold Plated Vermeil / 6,,4200.00,5099.99,Yes
9920601620728,48966678053112,ACTIVE,Certified 3ct VVS2 F Moissanite Ring for Gift in Solid 18K Gold Plated,18K Gold Plated Vermeil / 8,,4200.00,5099.99,Yes
9920601620728,48966678085880,ACTIVE,Certified 3ct VVS2 F Moissanite Ring for Gift in Solid 18K Gold Plated,18K Gold Plated Vermeil / 9,,4200.00,5099.99,Yes
9920601620728,48966678118648,ACTIVE,Certified 3ct VVS2 F Moissanite Ring for Gift in Solid 18K Gold Plated,18K Gold Plated Vermeil / 10,,4200.00,5099.99,Yes
